Hymn_No,Tulu,English,Number,Author,Kannada Category,English Category,Last Num
46,"1. ಯೇಸುನು ಅಜತ್ತ್ ದೆತ್ತೆ\nಅತಿಪ್ರಿಯ ಯೇಸುನೇ!\nಯೆನ ಮಾತ ದುಃಖ ಗೆತ್ತೆ;\nಜೀವ, ಬೊಳ್ಪು, ರಕ್ಷಣೆ\nಕೊರ್ಪೆ ಯೆನ ಸ್ನೇಹಿತೆ\nಯೇಸುವೇ.\nನಿನಡೆಗ್, ಕರ್ತವಾ,\nದಯ ದೀದ್ ಸೇರಾಲ!\n\n2. ಯೇಸುನು ಅಜತ್ತ್ ದೆತ್ತೆ;\nಯೆಂಕ್ ಆಯ ಕ್ರುಸ್ಸುಡ್ದೇ\nಪರಿಹಾರ ಆಂಡ್; ಇತ್ತೆ\nಯೆಂಕ್ ದಾನೆ ಪೋಡಿಗೆ?\nಯೆನ ಪ್ರಾಣಸ್ನೇಹಿತೆ\nಯೇಸುವೇ.\nನಿನಡೆಗ್, ಕರ್ತವಾ,\nದಯ ದೀದ್ ಸೇರಾಲ!\n\n3. ಯೇಸುನು ಅಜತ್ತ್ ದೆತ್ತೆ;\nಲೋಕದಾಶೆ ಬುಡಿಯೆ,\nದಯೊಟೇ ಯೆನನ್ ಲೆತ್ತೆ\nತನ ರಾಜ್ಯ ಸುಖೊಕೇ.\nಯೆನ ಪ್ರಾಣಸ್ನೇಹಿತೆ\nಯೇಸುವೇ.\nನಿನಡೆಗ್, ಕರ್ತವಾ,\nದಯ ದೀದ್ ಸೇರಾಲ!\n\n4. ಯೇಸುನು ಅಜತ್ತ್ ದೆತ್ತೆ;\nಆಯೆ ಯೆನ ಆತ್ಮೊನು\nತನ ಕೈತಡೆಗ್ ಲೆಪ್ಪೆ\nಯೆನ ಕಡೇ ದಿನೊಟು.\nಯೆನ ಪ್ರಾಣಸ್ನೇಹಿತೆ\nಯೇಸುವೇ.\nನಿನಡೆಗ್, ಕರ್ತವಾ,\nದಯ ದೀದ್ ಸೇರಾಲ!\n\n5. ಯೇಸುನು ಅಜತ್ತ್ ದೆತ್ತೆ;\nನಂಬೊಣ್ದುಳ್ಳೆ ಆಯನೇ.\nಸ್ವರ್ಗದಾಶೆ ಹೊರ್ತು ಬೇತೆ\nದಾಲಾ ಚಿಂತೆ ಮಳ್ಪಯೆ.\nಯೆನ ಪ್ರಾಣಸ್ನೇಹಿತೆ\nಯೇಸುವೇ.\nನಿನಡೆಗ್, ಕರ್ತವಾ,\nದಯ ದೀದ್ ಸೇರಾಲ!","1. Yesunuajattu ajatthu dhetthe\nAthipriya Yesune!\nYena maatha dhuhkha getthe;\nJeeva, bolpu, rakshane\nKorpe yena snehithe\nYesuve.\nNinadegu, Karthavaa,\nDhaya dheedhu seraala!\n\n2. Yesunuajattu ajatthu dhetthe\nYenku aaya krussud-dhe\nParihaara aandu; yitthe\nYenku dhane podige?\nyena pranna snehithe\nYesuve,\nNinadegu, Karthavaa,\nDhaya dheedhu seraala!\n\n3. Yesunuajattu ajatthu dhetthe\nLokadhaashe budiye,\nDhayote yenanu letthe\nThana raajya sukhoke.\nYena pranna snehithe\nYesuve,\nNinadegu, Karthavaa,\nDhaya dheedhu seraala!\n\n4. Yesunuajattu ajatthu dhetthe\nAaye yena aathmonu\nThana kaithadegu leppe\nYena kade dhinotu\nYena praana snehithe\nYesuve,\nNinadegu, Karthavaa,\nDhaya dheedhu seraala!\n\n5. Yesunuajattu ajatthu dhetthe\nNambondhulle aayane,\nSwargadhaashe horthu bethe\nDhaalaa chinthe malpaye\nYena praana snehithe\nYesuve,\nNinadegu, Karthavaa,\nDhaya dheedhu seraala!",173,A. MÃ¤nner,tulu,Tulu,105
47,"1. ಯೇಸೋ! ಈ ಮಳ್ತಿ ಪ್ರೀತಿಗಾದ್\nನಿಕ್ಕೇ ಸಾಷ್ಟಾಂಗ ಬೂರುವೆ.\nಈ ಬಡ ನರಮಾನಿ ಆದ್\nತೋಜಾಯ ನಿನ ಮಮತೆ.\nಐಕಾದ್, ಯೇಸೋ, ನಿನ ದಾಸೆ\nಆದುಪ್ಪೊಡಂದ್\u200dದೇ ಯೆನಾಶೆ.\n\n2. ನಿನಡ್ದ್ ಯೆಂಕ್ ಉಂಡು ತ್ರಾಣ;\nನಿನಡ್ದೇ ಯೆಂಕ್ ಐಶ್ವರ್ಯ,\nಸಂತೋಷ\u200c, ಸುಖ, ಸಮಾಧಾನ,\nನಿರ್ಲಯ, ಮೋಕ್ಷ ನಿಶ್ಚಯ!\nಕ್ರಿಸ್ತ್ಯೇಸೋ! ಯೆಂಕ್ ನಿನ ದಯ\nಬುಡಂದೆ ಆತ್ಮದ ಸಹಾಯ.\n\n3. ಈ, ಪ್ರಿಯ ಯೇಸೋ! ಯೆಂಕಗತ್ಯ.\nಈ ಯೆಂಕ್ ಬೋಡು ನಿಜನೇ.\nಪ್ರಪಂಚ ಮಾಯ, ಈಯೇ ಸತ್ಯ;\nನಿನೌಳೇ ಯೆನ ಕೋರಿಕೆ\nಈ ಯೆಂಕ್ ಕೊರ್ಪ ಆತ್ಮಶಾಂತಿ,\nಸಂತೋಷ\u200c, ಜೀವ, ತ್ರಾಣ, ಕಾಂತಿ!\n\n4. ಯೇಸೋ, ಈ ಮಲ್ಲ ಪ್ರೀತಿ ತೂದು\nಉಲ್ಲಾಸೊಡು ಕೊಂಡಾಡುವೆ.\nಯೆನಾತ್ಮೊಗು ಅವಶ್ಯ ಬೋಡು\nಈ ಶುದ್ಧ ಸತ್ಯ ಮಮತೆ.\nಸಂಪೂರ್ಣ ಪ್ರೀತಿ ಇತ್ತಿನಾಯಾ!\nನಿನಡೇ ಯೆನ ಏಕಾಶ್ರಯ.","1. Yeso! Yee malthi preethigaadhu\nNikke saashtaanga booruve,\nYee bada naramaani aadhu\nThojaaya nina mamathe.\nAikaadhu, Yeso, nina dhaase\nAadhuppodandhudhe yenaashe.\n\n2. Ninad-dhu yenku undu thraana;\nNinand-dhe yenku aishwarya,\nSanthosha, sukha, samaadhaana,âNirlaya, moksha nishchaya!\nKristhyeso! Yenku nina dhaya\nBudandhe aathmadha sahaaya.\n\n3. Yee, priya Yeso,\nYenkagathya.\nYee yenku bodu nijane.\nPrapancha maaya, yeeye sathya,\nNinaule yena korike\nYee yenku korpa aathma Shaanthi,\nSanthosha, jeeva, thraana\nKaanthi! \n\n4. Yeso, yee malla preethi\nThoodhu\nUllaasodu kondaaduve.\nYenaathmogu avashya bodu\nYee shuddha sathya mamathe.\nSampoorna preethi yitthinaayaa!\nNinade yena yekaashraya.",94,A. MÃ¤nner,tulu,Tulu,105
48,"1. ಕ್ರಿಸ್ತ್ಯೇಸೋ, ನಿಜ ಆದ್\nನಿನನ್ ನಂಬುವೆ;\nಈ ಮಳ್ತಿ ಪ್ರೀತಿಗಾದ್\nನಿಕ್ಕಡ್ಡ ಬೂರುವೆ.\n\n2. ಯಾನಿತ್ತೆ ಕತ್ತಲೆಡ್,\nನಿನನ್ ತೂವಂದೆ\nಅನ್ಯಾಯ ಪಾಪೊಳೆಡ್\nಪೂರ್ತ್ಯಾದ್ ಮುರ್ಕಿಯೆ.\n\n3. ದೆತ್ತೊಂಡ ಅವತಾರ,\nತೋಜಾಯ ಕರುಣ.\nಅನಾಥ ಯೆನ ಪ್ರಾಣ\nಈ ನಾಡ್ದ್ ಪತ್ತಿಯ.\n\n4. ಕಟಾಕ್ಷ ದಾಯೆ ಆದ್\nಮಾಜಾಯ ಪಾಪೊನು,\nಔ ಇತ್ತೆ ಪೂರ್ತಿ ಆದ್\nತೋಜಂದೆ ಪೋತುಂಡು.\n\n5. ಈ ಕೊರ್ತಿ ಸಮಾಧಾನ\nಅಮೂಲ್ಯ ಪದವಿ;\nಪೋಡ್ಯಾವು ಅನುಮಾನ\nಉಂದೆಟ್ ಉಪ್ಪುಜಿ.\n\n6. ಆ ಮಲ್ಲ ದಾನೊಗಾದ್,\nಈ ಜೀವ ಪೋನೆಂಗೆ\nಯಾನ್ನಿಕ್ಕ್ ಒಳಗಾದ್\nಬುಡಂದೆ ಬದುಕೆ.\n\n7. ನಿನತಿ ದಯೊಡ್ದಾದ್\nಆ ಭಾಗ್ಯವಂತೆರೆ\nಪಾಸಾಡಿದಾಯೆ ಆದ್\nಸದಾ ಕೊಂಡಾಡುವೆ","1. Kristhyeso, nija aadhu\nNinanu nambuve,\nYee malthi preethigaadhu\nNikkadda booruve.\n\n2. Yaanitthe katthaledu,\nNinanu thoovandhe\nAnyaaya paapoledu\nPoorthyaadhu murkiye.\n\n3. Dhetthonda avathaara\nThojaaya karuna.\nAnaatha yena praana\nYee naad-dhu patthiya.\n\n4. Kataakshadhaaye aadhu\nMaajaaya paaponu,\nAu yitthe poorthi aadhu\nThojandhe pothundu.\n\n5. Yee korthi samaadhaana\nAmoolya padhavi,\nPodyaavu anumaana\nUndhetu uppuji.\n\n6. Aa malla dhaanogaadhu,\nYee jeeva ponenge\nYaannikku olagaadhu\nBudandhe badhuke.\n\n7. Ninathi dhayod-dhaadhu\nAs bhaagyavanthere\nPassaadidhaaye aadhu\nSadhaa kondaaduve.",7,A. MÃ¤nner,tulu,Tulu,105
49,"1. ಕ್ರಿಸ್ತ್ಯೇಸೋ, ಯೆನ ಸ್ವಾಮೀ!\nನಿನನ್ ಬುಡಯೆ;\nಈ ಮಳ್ತಿನಾತ್ ಪ್ರೀತಿ\nಬೊಕ್ಕೊರಿ ಮಳ್ಪಯೆ.\nಯೆಂಕುಪ್ಪು ಪ್ರೀತಿದಾಯೆ\nಈ ಮಾತ್ರ, ಕರ್ತವಾ!\nಯೇಪೇಪಲಾ ನಿನ್ನಾಯೆ\nಆದುಳ್ಳೆ, ನಿಶ್ಚಯ!\n\n2. ಪ್ರಪಂಚ, ಐತ ಪೊರ್ಲು,\nಮರ್ಯಾದಿ, ಐಶ್ವರ್ಯ\nಅನೇಕೆರೆಗ್ ಉರ್ಲು\nಆತ್\u200dಂಡ್, ಗೊಂತಿಜ್ಜಾ?\nಯೆಂಕಾಂಡ ಲೋಕ ಮಾತ\nತೋಜುಂಡು ಹೇಸಿಗೆ,\nಯೆನಾಶೆ ಯೇಸುಪಾದ,\nಸಹಾಯ ಆಯಡ್ದೇ.\n\n3. ಕ್ರಿಸ್ತೇಸುಗುಪ್ಪು ಪ್ರೀತಿ\nನಿಜಾದ್ ಶುದ್ಧನೇ.\nಈ ಪ್ರೀತಿದವು ರೀತಿ\nನಿತ್ಯೊಗು ಸ್ಥಿರನೇ.\nಈ ಪ್ರೀತಿದ ಪ್ರಸಾದ\nಅಪೇಕ್ಷೆ ಮಳ್ಪುವೆ,\nಬೋಡಾಪಿ ದಾನ ಮಾತ\nತಿಕ್ಕುಂಡು ಪ್ರೀತಿಡೇ.","1. Kristhyeso, yena swaamee!\nNinanu budaye;\nYee malthinaathu preethi\nBokkori malpaye.\nYenkuppu preethidhaaye\nYee maathra, Karthavaa!\nYepepalaa ninnaaye\nAadhulle, nishchaya!\n\n2. Prapancha, aitha porlu,\nMaryaadhi, aishwarya\nAnekeeregu urlu\nAathundu, gonthijjaa?\nYenkaanda loka maatha\nThojundu hesige,\nYenaashe Yesupaadha,\nSahaaya aayad-dhe.\n\n3. Kristhyesuguppu preethi\nNijaadhu shuddhane.\nYee preethidhavu reethi\nNithyogu sthirane.\nYee Preethidha prasaadha\nApekshe malpuve,\nBodaapi dhaana maatha\nThikkundu Preethide.",128,A. MÃ¤nner,tulu,Tulu,105
50,"1. ವಿಶೇಷ\u200c ವೈದ್ಯದಾಯೆನೇ\nಕರುಣ ಇತ್ತಿ ಯೇಸು!\nಆಪತ್ತ್ ಡಾದರಿಪುವೆ;\nಸಮೀಪೊಡುಳ್ಳೆ ಯೇಸು.\nಭೂಮಿ ಪರಲೋಕೊಡು\nಮಾತ ಜೀವರಾಶಿಳು\nಮಳ್ಪು ರಾಗ ನಿತ್ಯೊಗು:\nಯೇಸು, ಯೇಸು, ಯೇಸು!\n\n2. ಕ್ರಿಸ್ತ್ಯೇಸು ಸಮಜೈಸಿಗೆ,\nಪವಿತ್ರ ಆತ್ಮದಾನ\nದಂಡ್ಯಾದ್ ಕೊರ್ಪೆ, ಪಾಪಿಳೇ,\nಕೇಣ್ಲೆ ಸುವರ್ತಮಾನ!\nಭೂಮಿ-\n\n3. ಉದ್ಧಾರ ಮಳ್ತಿ ಯೇಸುಗೇ\nಬುಡಂದೆ ಕೊರ್ಲೆ ಮಾನ.\nಅನೇಕ ಶ್ರಮೆ ತಾಳೊಂಡೆ,\nನಂಕಾಂಡ್ ಸಮಾಧಾನ.\nಭೂಮಿ-\n\n4. ಯೇಸೋ! ಈ ನಿನ ಪುಣ್ಯನೇ\nಮಾಜಾಂಡ್ ಯೆನ ಪಾಪ;\nನಿನಡ್ ಇತ್ತೆ ಸುಖನೇ,\nದೂರಾಂಡ್ ಮಾತ ಶಾಪ.\nಭೂಮಿ-\n\n5. ಅಂಚಾಂಡ ಮಾತ ಶಿಷ್ಯೆರೇ,\nಕೊಂಡಾಡೆರೆ ಒಟ್ಟಾದ್\nಸಂಗೀತಧ್ವನಿ ಮಳ್ಪುಲೆ\nಕ್ರಿಸ್ತ್ಯೇಸು ಸ್ತೋತ್ರೊಗಾದ್!\nಭೂಮಿ-","1. Vishesha vaidhyadhaayene\nKaruna yitthi Yesu!\nAapatthudaadharipuve;\nSameepodulle Yesu.\nBhoomi paralokodu\nMaatha jeevaraashilu\nMalpu raga nithyogu;\nYesu, Yesu, Yesu!\n\n2. Kristhyesu samajaisige,\nPavithra aathmadhaana\nDhandyaadhu korpe, paapile,\nKenle suvarthamaana!\nBhoomiâ¦â¦â¦â¦..\n\n3. Uddhaara malthi Yesuge\nBudandhe korle maana.\nAneka shrame thaalonde,\nNankaandu samaadhaana.\nBhoomiâ¦â¦â¦â¦..\n\n4. Yeso! Yee nina punyane\nMaajaandu yena papa;\nNinadu yitthe sukhane,\nDhooraandu maatha shaapa.\nBhoomiâ¦â¦â¦â¦â¦.\n\n5. Anchaanda maatha shishyere\nKondaadere ottaadhu\nSangeethadhwani malpule\nKristhyesu sthothrogaadhu\nBhoomiâ¦â¦â¦â¦â¦",247,A. MÃ¤nner,tulu,Tulu,105
51,"1. ಯೇಸೋ, ಪ್ರಾಣಸ್ನೇಹಿತಾ!\nನಿನ ಮದೆ ಸೇರುವೆ,\nಕಷ\u200c್ಟ, ಭಂಙ, ಉಪದ್ರ\nಮಲ್ಲ ಸೆರೆತಲ್ಕನೆ\nಯೆನ ಮಿತ್ತ್ ಬೂರುಂಡ,\nಈ ತಪ್ಪಾಲ, ಕರ್ತವಾ!\nಜೀವದಂತ್ಯ ಮುಟ್ಟಲಾ\nಯೆನನ್ನಡಪುಡುಲ!\n\n2. ಈಯೇ ಹೊರ್ತು ಒರಿಲಾ\nಪ್ರಾಣಸುಖ ಕೊರಯೆ;\nಯೆನನ್ ಕೈಬುಡಡ,\nಕೊರ್ಲ ಸಮಜೈಸಿಗೆ!\nನಿನ ಮಿತ್ತ್ ಮಾತ್ರನೇ\nದೀವೊಣ್ದುಳ್ಳೆ ನಂಬಿಗೆ;\nಗತಿದಾಂತಿ ಬಡವೆ\nಆಯಿ ಯಾನ್ ನಟ್ಟುವೆ.\n\n3. ಬೋಡು ಈಯೇ ರಕ್ಷಕಾ!\nಜೀವದ ಪ್ರಯಾಣೊಡು\nಪ್ರೀತಿಡ್ ಈ ನಾಡುವ\nತತ್ತ್ ಪೋಯಿ ಪ್ರಾಣೊನು.\nನೀತಿ, ಬೊಳ್ಪು, ಮಹಿಮೆ\nನಿನ ಗುಣ ಇತ್ತ್ಂಡ್ಲಾ,\nಪಾಪಿಳೆನ್ ದಕ್ಕಂದೆ\nಪೂರ ಮಡಿ ಮಳ್ಪುವ.\n\n4. ದಯ ದಿಂಜಿ ಕರ್ತವಾ!\nನಿನ ದಯ ಮಮತೆ\nಪಾಪಿ ಆಯಿ ಯೆಂಕ್\u200dಲಾ\nಮಲ್ಲ ಸಮಜೈಸಿಗೆ;\nಪಾಪ ಇನ್ಪಿ ರೋಗೊನು\nಪೂರ ವಾಸಿ ಮಳ್ಪುಲ;\nಯೆನ ಪ್ರಾಣ ದೀವೊಣು\nನಿನ ಐಕ್ಯೊಡ್ಯೇಪಲಾ!","1. Yeso, praana snehithaa!\nNina madge seruve,\nKashta, bhangna, upadhra\nMalla serethalkane\nYena mitthu boorunda,\nYee thappaala, Karthavaa!\nJeevadhanthya muttalaa\nYenannadapudula!\n\n2. Yeeye horthu orilaa\nPraanasukha koraye;\nYenanu kaibudada,\nKorla samajaisige!\nNina mitthu maathrane\nDheevondhulle nambige;\nGathidhaanthi badave\nAayi yaanu nattuve.\n\n3. Bodu Yeeye rakshakaa!\nJeevadha prayaanodu\nPreethidu yee naaduva\nThatthu poyi praanonu.\nNeethi, bolpu, mahime,\nNina guna yitthundlaa,\nPaapilenu dhakkandhe\nPoora madi malpuva.\n\n4. Dhaya dhinji Karthavaa!\nNina dhaya mamathe\nPaapi aayi yenkulaa\nMalla samajaisige;\nPapap yinpi rogonu\nPoora vaasi malpula;\nYena praana dheevonu\nNina aikyodyepalaa!",134,R. Bunz,tulu,Tulu,105
52,"1. ಯೇಸು ಯೆನ ಕುರುಬೆ,\nಏತೋ ಪೊರ್ಲು ಮೇಪುವೆ.\nಯೆಂಕ್ ಯೇಪಲಾ ಸಂತೋಷ\u200c,\nಆಯ ಪ್ರೀತಿ ಯೆನ ಪೋಷ\u200c,\nಯೆನ ಆಶೆ ಆಯೆನೇ,\nಯೇಸು ಬೆರಿ ಬುಡಯೆ.\n\n2. ಆಯಡೊಪ್ಪ ಯೇಪಲಾ\nಉಳೈ ಪಿದೈ ಪೋನಗ\nಎಡ್ಡೆ ಮೇವುಜಾಗುಳೆಗ್\nನಡಪಾದ್, ಪುಂಡುಳೆಗ್\nಜೀವದ ಆಹಾರೊನೇ\nಬೋಡಲಾತ್ ಪಟ್ಟುವೆ.\n\n3. ಸುಖ ತಿಕ್ಕಿ ಕುರಿಯೇ!\nನನ ದಾನೆ ಕಡಮೆ?\nಮುಳ್ತ ಸುಖ ಪೋಯಿ ಬೊಕ್ಕ\nಆಯೆ ಕೊರ್ಪೆ ಪರಲೋಕ;\nಔಳು ನಿತ್ಯ ಕಾಲೊಗು\nಪೂರ್ತಿ ಸುಖ ಆಪುಂಡು.","1. Yesu yena kurube;\nYetho porlu mepuve.\nYenku yepalaa santhosha,\nAaya preethi yena posha,\nAaya aashe aayene,\nYesu beri budaye.\n\n2. Aayadippa yepalaa\nUllai pidhai ponaga\nYedde mevujaagulegu\nNadapaadhu, pundulegu\nJeevadha aahaarone\nBodalaathu paattuve.\n\n3. Sukha thikki kuriye!\nNana dhaane kadame?\nMultha sukha poyi bokka\nAaye korpe paraloka;\nAulu nithya kaalogu\nPoorthi sukha aapundu.",69,A. MÃ¤nner,tulu,Tulu,106
53,"1. ಏತೋ ಸಂತೋಷ\u200c! ಯೇಸು ಕುರಿ ಆದ್\nಈ ಪಾಲಕ ಕೈ ತಿರ್ತ್ ಉಪ್ಪುನೌ.\nಕ್ರಿಸ್ತ್ಯೇಸು ಬೆರಿ ಪೋಪಿ ಮಾನೊಗಾದ್\nಈ ಲೋಕದೆನ್ ಅಗ್ಗ ಮಳ್ಪುನೌ.\nಬೋಡಾಯಿ ಜೀವದಾನೊನೇ\nಕ್ರಿಸ್ತ್ಯೇಸು ಕೊರ್ಪೆ ತನ ಪ್ರಿಯ ಕುರಿಕೇ.\n\n2. ಈ ಮೇವುದಳ್ಪ ನಿತ್ಯಜೀವ ಪಾನ,\nಆ ಪರಲೋಕಮನ್ನ ತಿಕ್ಕುಂಡು.\nವಾ ಪ್ರಾಣಿಗಾಂಡಲಾ ಈ ದಿವ್ಯಮಾನ\nತೂನಗ ಕಣ್ಣ್ ಪಾರು ಒರೊಗು.\nಇಂಚಿತ್ತಿ ಪೊರ್ಲು ಬಾಳ್ವೆಡ್\nಉಪ್ಪುಂಡು ಕುರಿ ಮೇಪುನಾಯ ಜೋಕೆಡ್.\n\n3. ಈ ಜೀವ ಬುಡ್ಪಿನವು ನನ ಕಷ\u200c್ಟ\nಭಕ್ತ\u200cಗ್ ಉಪ್ಪಾ? ಎಡ್ಡೆ ಪಾಲಕೆ\nಪಾತಾಳ ಪೀಡೆ ದೆತ್ತೆ. ಆತ್ಮನಷ\u200c್ಟ\nನಂಕಾವೊಲ್ಯಾ? ಪಾತಾಳ ಜೈಸಿಯೆ.\nಶರೀರ ಜೀವ ಪೋಂಡಲಾ,\nಜೀವಾತ್ಮ ಔಳು ಲಯಾವಂದ್ ಯೇಪಲಾ.\n\n4. ಸಂತೋಷ\u200c, ಸುಖ, ಎಡ್ಡೆ ದಿನೊಳೆನ್\nಅಪೇಕ್ಷೆ ಮಳ್ಪು ಜನ ಮಾತೆರ್ಲಾ\nಈ ಎಡ್ಡೆ ಮೇಪುನಾಯ ತಾಂಕಣೆಗ್\nಹರ್ಷಾದ್ ಬಲ್ಲೆ! ಆಯೆ ನಿಶ್ಚಯ\nಬಾಡಂದಿ ಪಜಿ ಪುಲೊಟು ಮೇಪುವೆ.\nಲೋಕ ತೌಡು ಮಾತ್ರ ಕೊರ್ಪುಂಡು.\n\n5. ಈ ಮಲ್ಲ ಸುಖ ಭಾಗ್ಯ ರೀತಿ ತೂದು,\nತೀರಂದಿ ಭಾಗ್ಯೊನೇ ಕಾತೊಣ್\u200dಂಬೆ.\nಆ ನಿತ್ಯಜೀವ ನೀರ್ ಜಲಕುಂಡು.\nಬಾಳುವೆ ಯೇಸು ಕ್ರಿಸ್ತ ಒಟ್ಟುಗೇ.\nಔಳಾಪಿ ಸುಖ ಸಂತೋಷ\u200c\nಪಂಡ್\u200dದ್ ತುದಿ ಬೂರಂದ್. ಹಲ್ಲೆಲೂಯ!","1. Yetho santhosha! Yesu kuriaadhu\nYee Paalaka kai thirthu Uppunau.\nKristhyesu beri popi Maanogaadhu\nYee lokadhenu agga malpunau.\nBodaayi jeevadhaanone\nKristhyesu korpe thana Priya kurike.\n\n2. Yee mevudhalpa nithyajeeva paana,\nAa paralokamanna thikkundu.\nVaa praanigaandalaa yee Dhivyamaana,\nThoonaga kannu paaru orogu.\nYinchitthi porlu baalvedu\nUppundu kuri mepunaaya Joledu.\n\n3. Yee jeeva budpinavu nana kashta\nBhakthagu uppaa? Yedde Paalake\nPaathaala peede dhetthe. Aathmanashta\nNankaavolyaa? Paathaala Jaisiye.\nShareera jeeva pondalaa\nJeevaathma aulu layaavandhu Yepalaa.\n\n4. Santhosha, sukha, yedde Dhinolenu\nApekshe malpu jana maatherlaa\nYee yedde mepunaaya Thaankanegu\nHarshaadhu balle! Aaye Nishchaya\nBaadandhi paji pulotu\nMepuve. Loka thaudu maathra Korpundu.\n\n5. Yee malla sukha bhaagya Reethi thoodhu,\nTheerandhi bhaagyone\nKaathonumbe.\nAa nithyajeeva neeru jalakundu.\nBaaluve Yesu Kristha ottuge.\nAulaapi sukha santhosha\nPandudhu thudhi boorandhu. Hallelooyaa!",217,A. MÃ¤nner,tulu,Tulu,106
54,"1. ಯೇಸು ತನ ಯೆಲ್ಲ್ಯ ಪುಂಡುನು\nಈ ದುಷ\u200c್ಟ ಲೋಕೊಡು\nಕಾತೊಣುದುಳ್ಳೆ;\nಸುದರಿಪುವೆ, ತೂಲೆ!\nಹಲ್ಲೆಲೂಯಾ!\n\n2. ಅಂಧಕಾರ ಸುತ್ತ ಇತ್ತ್ಂಡ್ಲಾ\nಸಹಾಯೊಗ್ಯೇಪಲಾ\nತಯಾರ್ ಉಳ್ಳೆ;\nಪ್ರಕಾಶ ಕೊರ್ಪೆ, ತೂಲೆ!\nಹಲ್ಲೆಲೂಯಾ!\n\n3. ಸಾವುಡಾಪಿ ಕಷ\u200c್ಟ ಭಂಙೊಡು,\nಇಕ್ಕಟ್ಟ್ ದುಃಖೊಡು\nಆಯಾಶೀರ್ವಾದ\nನಂಕುತ್ತಮ ಪ್ರಸಾದ.\nಹಲ್ಲೆಲೂಯಾ!\n\n4. ನಮನಾಯೆ ನಡಪುಡುವೆ\nಶಾಂತಿದ ಕೋಲುಡೇ;\nದಂಡ್ಯಾವೆ ದಾನ,\nಸಂತೋಷ\u200c, ಸಮಾಧಾನ.\nಹಲ್ಲೆಲೂಯಾ!\n\n5. ನಂಬಿಗೆಡ್ ಕಡೇ ಕಾಲೊಡು\nಸೇರಾವೆ ಸ್ವರ್ಗೊಗು\nತನ್ನಾಕುಳೆನ್.\nತೂಲೆ, ಈ ಮಹಿಮೆನ್!\nಹಲ್ಲೆಲೂಯಾ!","1. Yesu thana yellya pundunu\nYee dhushta lokodu\nKaathonudhulle;\nSudharipuve, thoole!\nHallelooyaa!\n\n2. Andhakaara suttha yitthundlaa\nSahaayogyepalaa\nThayaary ulle;\nPrakaasha korpe, thoole!\nHallelooyaa!\n\n3. Saavudaapi kashta\nBhangnodu,\nYikkattu dhuhkhodu\nAayaasheervaadha\nNankutthama prasaadha.\nHallelooyaa!\n\n4. Namanaaye nadapuduve\nShaanthidha kolude;\nDhandyaave dhaana,\nSanthosha, samaadhaanaa.\nHallelooyaa!\n\n5. Nambigedu kade kaalodu\nSeraave swargogu\nThannaakulenu.\nThoole, yee mahimenu!\nHallelooyaa!",49,A. MÃ¤nner,tulu,Tulu,106
55,"1. ಕರ್ತವಾ, ಕರ್ತವಾ!\nಕೇಣ್ಲ ಯೆನ ಬಿನ್ನಹ!\nಯೆನ ಮಾತ ಸಾದಿಳೆಡ್\nನಿನ ಭಕ್ತಿ ಪೋಡಿಗೆಡ್\nಯೆನನ್ನಡಪುಡುದು\nಯೇಪಲಾಶೀರ್ವದಿಪು!\n\n2. ರಕ್ಷಕಾ, ರಕ್ಷಕಾ!\nಯೆನ ಕೈತಳುಂತುಲ!\nಈಯೇ ಶಕ್ತೆ; ಯಾನ್ ದೀನೆ,\nಯಾನ್ ಪೂರ ಬಲಹೀನೆ.\nಯೇಸೋ, ಪ್ರಿಯ ಕರ್ತವಾ!\nತಾಂಗ್, ದೆರ್ತ್ ಕಾಪುಲ.\n\n3. ಪಾಲಕಾ, ಪಾಲಕಾ!\nಯೆನನಾದರಿತೊಣ್ಲ!\nನಿನ ಮಲ್ಲ ದಯೊಕಾದ್\nಯಾನ್ ನಿನ ಕುರಿ ಆದ್\nಬದ್\u200dಕೆರೆ ಸೇರಾಲ\nಯೆನನೌಳು, ಪಾಲಕಾ!","1. Karthavaa, Karthavaa!\nKenla yena binnaha!\nYena maatha saadhiledu\nNina bhkthi podigedu\nYenannadapududhu\nYepalaasheervadhipu!\n\n2. Rakshakaa, Rakshakaa!\nYena kaithalunthula!\nYeeye shakthe; yaanu dheene,\nYaanu poora balaheene.\nYeso, priya Karthavaa!\nThaangu, dherthu kaapula.\n\n3. Paalakaa, Paalakaa!\nYenanaadharithonla!\nNina malla dhayokaadhu\nYaanu nina kuri aadhu\nBadhukere seraala\nYenanaulu, Paalakaa!",51a,A. MÃ¤nner,tulu,Tulu,106
