Hymn_No,Kannada,English,Number,Author,Kannada Category,English Category,Last Num
227,"1. ನನ್ನ ದಯೆಯುಳ್ಳ ಮಿತ್ರ,\nನನ್ನ ಪ್ರಿಯ ರಕ್ಷಕಾ,\nಪ್ರೀತಿಯಿಂದ ನೀ, ಪವಿತ್ರ,\nನನ್ನ ಶುದ್ಧ ಮಾಡ ಬಾ!\n\n2. ದೊಡ್ಡ ಪಾಪಹೊರೆಯನ್ನು\nಪರಿಹರಿಸ್ಯೇಸುವೇ!\nದುಷ್ಟನಧಿಕಾರವನ್ನು\nಮುರಿಧಾಕು, ಶಕ್ತನೇ!\n\n3. ನಾನು ರೋಗಿ; ತ್ರಾಣವನ್ನು\nದಯೆಪಾಲಿಸೆನಗೆ!\nಸಾಯುತ್ತೇನೆ; ಪ್ರಾಣವನ್ನು\nಕೊಡು, ಎದ್ದ ಯೇಸುವೆ!\n\n4. ನಿನ್ನ ದಿವ್ಯ ಆತ್ಮಸ್ನಾನ\nಮಾಡಿಸೆನ್ನ ಆತ್ಮಕೆ!\nನಿನ್ನ ಜೀವದನ್ನಪಾನ\nಬಡಿಸಯ್ಯ ದೀನಗೆ!","1. Nanna dhayeyulla mithra,\nNanna priya rakshakaa,\nPreethiyindha nee, pavithra,\nNanna shuddha maada baa!\n\n2. Dhodda paapahoreyannu\nPariharisyësuvë!\nDhu$htanadhikaaravannu\nMuridhaaku, shakthanë!\n\n3. Naanu rögi; thraañavannu\nDhayepaalisenage!\nSaayuthëne; praañavannu\nKodu, yeddha Yësuve!\n\n4. Ninna dhivya aathmasnaana\nMaadisenna aathmake!\nNinna jeevadhannapaana\nBadisayya dheenage!",29,G. Weigle,kannada,Repentance,24
228,"1. ಪ್ರಿಯ ರಕ್ಷಕಾ,\nಕೃಪೆಯಿಂದ ಬಾ!\nಪಾಪದಲ್ಲಿ ಬಿದ್ದಿದ್ದೇವೆ;\nಧೂಳಿಯಲ್ಲಿ ಮೂಲ್ಗುತೇವೆ.\nಕರ್ತ, ನಮ್ಮನ್ನು\nಶಾಂತಿಪಡಿಸು!\n\n2. ನಮ್ಮ ಸ್ಥಳದಿ\nಶಾಪ ಸೈರಿಸಿ,\nಮೃತಿಯನ್ನು ತಾಳಿ, ಎದ್ದಿ;\nಕ್ರೂರಯುದ್ಧದಲ್ಲಿ ಗೆದ್ದಿ.\nಕೊಡು, ಶೂರನೆ,\nಜಯವೆಮಗೆ!","1. Priya Rakshakaa,\nKrupeyindha baa!\nPaapadhalli biddhiddhëve,\nDhooliyalli moolguthëve.\nKartha, nammanu\nShaanthipadisu!\n\n2. Namma sthaladhi\nShaapa sairisi,\nMruthiyannu thaali, yeddhi;\nKroorayuddhadhalli geddhi.\nKodu, shoorane,\nJayavemage!",56,G. Weigle,kannada,Repentance,24
229,"1. ನನ್ನ ಮೇಲೆ ದಯವಿಡು,\nನನ್ನ ಪ್ರಿಯ ಯೇಸುವೇ!\nನನ್ನ ಪಾಪ ಸುಟ್ಟು ಬಿಡು\nಪರಿಶುದ್ಧ ಕರ್ತನೇ!\nಕೀಳು ಪಾಪಮೂಲವನ್ನು\nನನ್ನಲಿಂದ, ಕ್ರಿಸ್ತನೆ!\nನಿನ್ನ ಕೃಪಾಕಾಂತಿಯನ್ನು\nಮೂಡ ಮಾಡು ನನಗೆ!\n\n2. ನನ್ನ ಬಡ ಮೊರೆಯನ್ನು\nಕೇಳು, ಪ್ರಿಯ ಕರ್ತನೆ!\nಕಾಡಿನಿಂದ ಭಕ್ತನನ್ನು\nನಿನ್ನ ಸನ್ನಿಧಾನಕೆ\nತರುವಾಗ, ನಿನ್ನ ಮುಖ\nನಿತ್ಯ ನೋಡುತಿರುವೆ;\nನಿನ್ನ ಹತ್ರ ಪೂರ್ಣ ಸುಖ,\nಅತಿಪ್ರಿಯ ಯೇಸುವೆ!","1. Nanna mële dhayavidu,\nNanna priya Yësuvë!\nNanna paapa suttu bidu\nParishuddha Karthanë!\nKeelu paapamoolavannu\nNannalindha, Kristhane!\nNinna krupaakaanthiyannu\nMooda maadu nanage!\n\n2. Nanna bada moreyannu\nKëlu, priya Karthane!\nKaadinindha bhakthanannu\nNinna sannidhaanake\nTharuvaaga, ninna mukha\nNithya nöduthiruve;\nNinna hathra poorña sukha,\nAthipriya Yësuve!",152,D. Kadiki,kannada,Repentance,24
230,"1. ಕ್ರಿಸ್ತ, ನಿತ್ಯಶೈಲವೆ,\nಶರಣಾಗು ನನಗೆ!\nನಿನ್ನ ಪಕ್ಕೇ ರಕ್ತದಿ\nಮನಶುದ್ಧಿಯಾಗಲಿ!\nಪಾಪ ಜೈಸೊ ಶಕ್ತಿಯ\nಹುಟ್ಟಿಸೋದೀ ನೆತ್ತರ.\n\n2. ಆಜ್ಞೆಗನುಸಾರವು\nನಾನು ನಡಕೊಳ್ಳಲು\nಎಷ್ಟು ಯತ್ನ ಪಟ್ಟರೂ,\nಬಿಕ್ಕಿ ಬಿಕ್ಕಿ ಅತ್ತರೂ,\nನನ್ನ ಪಾಪ ಹೋಗದು -\nನಿನ್ನ ಕೃಪೆ ಗತಿಯು.\n\n3. ಪುಣ್ಯವೇನು ತಾರದೆ\nನಿನ್ನ ಕ್ರೂಜೆಗಂಟುವೆ.\nಕೃಪೆದೋರು, ರಕ್ಷಕ!\nನೀಡು ನೀತಿವಸ್ತ್ರವ!\nಸಾಯುವಂಥ ನನಗೆ\nಜೀವವೀಯು ಕರ್ತನೆ!\n\n4. ಜೀವವಿರ್ವ ಮಟ್ಟಿಗೂ\nಯಾತ್ರೆ ತೀರಿದಾಗಲೂ\nಸಾಯೋ ಕಷ್ಟದಲ್ಲಿಯೂ\nನ್ಯಾಯತೀರ್ಪಿನೊಳಗೂ,\nಕ್ರಿಸ್ತ, ನಿತ್ಯಶೈಲವೆ,\nಶರಣಾಗು ನನಗೆ!","1. Kristha, nithya shailave,\nSharañaagu nanage!\nNinna pakkë rakthadhi\nManashuddhiyaagali !\nPaapa jaiso shakthiya\nHuttisödhee netthara.\n\n2. Aajneganusaaravu\nNaanu nadakollalu\nYe$htu yathna pattaroo\nBikki bikki attharoo,\nNanna paapa högadhu–\nNinna krupe gathiyu.\n\n3. Puñyavënu thaaradhe\nNinna kroojegantuve.\nKrupedhöru, Rakshaka!\nNeedu neethivasthrava!\nSaayuvantha nanage\nJeevaveeyu Karthane!\n\n4. Jeevavirva mattigoo\nYaathre theeridhaagaloo\nSaayö ka$htadhalliyoo,\nNyaayatheerpinolagoo,\nKristha, nithyashailave,\nSharañaagu nanage!",64,E. Bommer,kannada,Repentance,24
231,"1. ಇದ್ದಂತೆ ಬಂದೆ, ಯೇಸುವೆ!\nಎದ್ದೇಳು, ಬಾ! ಈ ಅಪ್ಪಣೆ\nನೀನಾಗಿ ಕೊಟ್ಟಿ, ಕರ್ತನೇ!\nಕ್ರೂಜೇಲಿ ನೊಂದ ಯೇಸುವೇ!\n\n2. ನಾ ಕುರ್ಡ, ಮರ್ತ್ಯ; ದಯದಿ\nಬೇಕಾದದೆಲ್ಲ ಕೊಡುವಿ.\nಇದ್ದಂತೆ ಬಂದೆ, ವೈದ್ಯನೇ!\nಕ್ರೂಜೇಲಿ ನೊಂದ ಯೇಸುವೇ!\n\n3. ನೀನಾದಿ ಪಾಪಯಾಗವು;\nನಾ ನಂಬಿ ಕ್ಷಮೆ ಕೇಳ್ವೆನು.\nಇದ್ದಂತೆ ಬಂದೆ, ಸ್ವಾಮಿಯೇ!\nಕ್ರೂಜೇಲಿ ನೊಂದ ಯೇಸುವೇ!\n\n4. ಕಾರುಣ್ಯಮೂರ್ತಿ, ಲಾಲಿಸು\nಈ ರೋಗಿಯನ್ನು ರಕ್ಷಿಸು!\nಇದ್ದಂತೆ ಬಂದೆ, ಮಿತ್ರನೇ!\nಕ್ರೂಜೇಲಿ ನೊಂದ ಯೇಸುವೇ!","1. Yiddhanthe bandhe, Yësuve!\nYeddhëlu, baa! Yee appañe\nNeenaagi kotti, Karthanë!\nKroojëli nondha Yësuvë!\n\n2. Naa kurda, marthya, dhayadhi\nBëkaadhadhella koduvi\nYiddhanthe bandhe, vaidhyanë!\nKroojëli nondha Yësuvë!\n\n3. Neenaadhi paapayaagavu;\nNaa nambi kshame këlvenu,\nYiddhanthe bandhe, Swaamiyë!\nKroojëli nondha Yësuvë!\n\n4. Kaaruñyamoorthi, laalisu!\nYee rögiyannu rakshisu !\nYiddhanthe bandhe, mithranë!\nKroojëli nondha Yësuvë!",244,B. LÃ¼thi,kannada,Repentance,24
232,"1. ಯೇಸು, ನಿನ್ನ ಪಾದವೆ\nನನ್ನ ಆತ್ಮಸ್ಥಾನವು!\nಲೋಕದಬ್ಧಿಘೋಷಕೆ\nಅತಿಭಯ ಪಟ್ಟೆನು;\nನಿನ್ನ ಕೈಯ, ಯೇಸುವೇ,\nಚಾಚಿ, ನನ್ನ ಸಲಹು!\nಅಂತ್ಯದಲ್ಲಿ ರೇವಿಗೆ\nನನ್ನ ದೋಣಿ ಸೇರಿಸು!\n\n2. ನೀನೇ ಸಾಕು, ಕರ್ತನೆ!\nನಿನ್ನಲೆಲ್ಲ ಸಿಕ್ಕಿತು.\nಕ್ಷೇಮ ಕೊಡು ರೋಗಿಗೆ!\nಕುರ್ಡನನ್ನು ನಡಿಸು!\nನಾನು ಪಾಪಮಯನೆ,\nನೀನೆ ಪರಿಶುದ್ಧನು;\nಮಲ ಹತ್ತಿತೆನಗೆ,\nನೀನೆ ಕೃಪಾಪೂರ್ತಿಯು.\n\n3. ನನ್ನ ಪಾಪವೆಲ್ಲವ\nಮನ್ನಿಸನುಗ್ರಹದಿ!\nನನಗಾತ್ಮಶುದ್ಧಿಯ\nನಿನ್ನ ಆತ್ಮ ಕೊಡಲಿ!\nನಿನ್ನ ಜೀವಜಲವು\nಪ್ರಾಪ್ತವಾಗಲೆನಗೆ!\nನಿತ್ಯವಾದ ಸ್ತುತಿಯು\nನಿನಗೆನ್ನ ಕರ್ತನೆ!","1. Yësu, ninna paadhave\nNanna aathma sthaanavu!\nLökadhabdhi ghö$hake\nAthibhaya pattenu;\nNinna kaiya, Yësuve,\nChaachi, nanna salahu!\nAnthyadhalli rëvige\nNanna dhöñi sërisu!\n\n2. Neene saaku, Karthane!\nNinnalella sikkithu.\nKshëma kodu rögige!\nKurdanannu nadisu!\nNaanu paapamayane,\nNeene parishuddhanu;\nMala hatthithenage,\nNeene krupaapoorthiyu.\n\n3. Nanna paapavellava\nMannisanugrahadhi !\nNanagaathma shuddhiya\nNinna aathma kodali!\nNinna jeevajalavu\nPraapthavaagalenage!\nNithyavaadha sthuthiyu\nNinagenna Karthane!","133,134",H. MÃ¶gling,kannada,Repentance,24
233,"1. ಯೇಸುವನ್ನು ನೋಡು,\nಸೋತ ಪಾಪಿಯೇ!\nನಿನ್ನ ಪಾಪವೆಲ್ಲ\nಹೊತ್ತನಲ್ಲವೇ?\nನಿನಗಾಗಿ ಯೇಸು\nಬಾಧೆ ಪಟ್ಟನು;\nಯೇಸುವನ್ನು ನೋಡಿ\nನಂಬಿ ಜೀವಿಸು!\n\n2. ಯೇಸುವನ್ನು ನೋಡು\nಯುದ್ಧದೊಳಗೆ!\nಶತ್ರುಬಲ ಸುತ್ತ\nಮುತ್ತಿ ಬಂದರೆ,\nಅಲ್ಪತ್ರಾಣಿ, ಹೋರು\nವಾಕ್ಯಶಸ್ತ್ರದಿ!\nಯೇಸುವನ್ನು ನೋಡಿ\nನಂಬಿ ಗೆಲ್ಲುವಿ.\n\n3. ಯೇಸುವನ್ನು ನೋಡು\nನಿನ್ನ ಕಾರ್ಯದಿ!\nಒಳ್ಳೇ ಬೀಜ ಬಿತ್ತು!\nಮುಂದೆ ಕೊಯ್ಯುವಿ.\nಗೇಯುವವಗಾತ\nಅನ್ನ ಕೊಡನೇ?\nಯೇಸುವನ್ನು ನೋಡಿ\nಮಾಡು ಬಿತ್ತನೆ!\n\n4. ಯೇಸುಕ್ರೂಜೆ ನೋಡು,\nನನ್ನ ಪ್ರಾಣವೆ!\nಮೇಲೆ ಮೇಜುವಾನಿ\nಸಿದ್ಧವಾಗಿದೆ.\nಗೇದು ಗೆದ್ದ ಮೇಲೆ\nಪರಲೋಕದಿ\nಯೇಸು ಮುಖವನ್ನು\nನಿತ್ಯ ನೋಡುವಿ.","1. Yësuvannu nödu,\nSötha paapiyë!\nNinna paapavella\nHotthanallavë ?\nNinagaagi Yësu\nBaadhe pattanu;\nYësuvannu nödi\nNambi jeevisu!\n\n2. Yësuvannu nödu\nYuddhadholage!\nShathrubala suttha\nMutthi bandhare,\nAlpathraañi, höru\nVaakyashasthradhi!\nYësuvannu nödi\nNambi gelluvi.\n\n3. Yësuvannu nödu\nNinna kaaryadhi!\nOllë beeja bitthu!\nMundhe koyyuvi.\nGëyuvavagaatha\nAnna kodanë ?\nYësuvannu nödi\nMaadu bitthane!\n\n4. Yësu krooje nödu,\nNanna praañave!\nMële mëjuvaani\nSiddhavaagidhe,\nGëdhu geddha mële\nParalökadhi\nYësumukhavannu\nNithya nöduvi.",224,B. LÃ¼thi,kannada,Faith and Pardon,25
234,"1. ಪಾಪಂಗಳ ಸಾಲ\nಸಲ್ಲಿಸೋದುಂಟೋ?\nವಿಚಾರಣೇ ಕಾಲ \nಬಿಟ್ಠೋಗುವದೋ?\nಸ್ವಶಕ್ತಿಯಿಂದಲ್ಲ\nವಿಮೋಚನೆಯು.\nಶ್ರೀ ಕ್ರಿಸ್ತನಿಂದೆಲ್ಲ\nಪಾರಾಗುವದು.\n\n2. ತಾ ಜಾಮೀನು ನಿಂತು\nಹೋರಾಡಿದನು.\nಪಾಪಿಷ್ಠರನ್ನಿಂತು\nಕಾಪಾಡಿದನು.\nಅಚಂಚಲವಾಗಿ\nವಿಶ್ವಾಸಿಸುವೆ.\nಸುರಕ್ಷಿತನಾಗಿ\nಸಂತೋಷಿಸುವೆ.\n\n3. ಶ್ರೀ ಯಾಜಕನಾಗಿ\nವಿಜ್ಞಾಪಿಸುವ,\nನ್ಯಾಯಾಧಿಪನಾಗಿ\nಮುಂಬಪ್ಪವನ\nವಿಶ್ವಾಸದಿಂ ಬಾಗಿ\nಬಿನ್ನೈಸುವೆನು.\nಸಮಾಧಾನವಾಗಿ\nನಾ ಸಾಯುವೆನು.","1. Paapangala saala\nSallisodhuntö ?\nVichaarañë kaala\nBittöguvadhö ?\nSwashakthiyindhalla\nVimöchaneyu.\nShree Kristhanindhella\nPaaraaguvadhu.\n\n2. Thaa jaameenu ninthu\nHöraadidhanu.\nPaapi$htaranninthu\nKaapaadidhanu.\nAchanchalavaagi\nVishwaasisuve.\nSurakshithanaagi\nSanthö$hisuve.\n\n3. Shree yaajakanaagi\nVijnaapisuva,\nNyaayaadhipanaagi\nMumbappavana\nVishwaasadhim baagi\nBinnaisuvenu.\nSamaadhaanavaagi\nNaa saayuvenu.",205,L. J. Devadatha,kannada,Faith and Pardon,25
235,"1. ದೇವದತ್ತ ಶಕ್ತಿಯಾದ\nಸದ್ವಿಶ್ವಾಸ ಯಾವದು?\nಅಂಥ ದೇವರ ಪ್ರಸಾದ\nಹ್ಯಾಗೆ ಪ್ರಾಪ್ತಿಯಾಗೊದು?\n\n2. ಕೂಸು ತನ್ನ ತಾಯಿಯನ್ನು\nಹ್ಯಾಗೆ ನಂಬುತಿಹುದೋ,\nಹಾಗೆ ನೀನು ಯೇಸುವನ್ನು\nಬಾಲನಂತೆ ಅಪ್ಪಿಕೋ!\n\n3. ನೋಡು! ನೋಡು! ಕ್ರಿಸ್ತ\nನಿಂದ\nಬಿಡುಗಡೆ ಪಾಪಿಗೆ.\nಅಗೋ ಅಲ್ಲಿ! ಕ್ರೂಜೆಯಿಂದ\nಲೋಕದ ವಿಮೋಚನೆ!\n\n4. ಕ್ರೂಜೆ ಸ್ಥಿರವಾಗಿ ನೋಡಿ,\nಅದನ್ನಾತುಕೊಂಬೊದು,\nಆಸರವೆಂತಲ್ಲಿಗೋಡಿ\nಸೇರೋದೇ ವಿಶ್ವಾಸವು.\n\n5. ನಿನ್ನ ಮನ ಪಾಪದಿಂದ\nಕಪ್ಪು ಬಣ್ಣವಾದರು,\nಕ್ಷಣದಲ್ಲಿ ಕ್ರಿಸ್ತನಿಂದ\nಬಿಳೀ ಬಣ್ಣವಾಗೊದು.\n\n6. ಜೀವರಾಜಸಾವಿನಿಂದ\nನಿಂಗೆ ಸಾವು ತಪ್ಪಿತು.\nಮೇಲಕೇರಿದಾತನಿಂದ\nಜೀವದಾತ್ಮ ಸಿಕ್ಕೊದು.\n\n7. ಇನ್ನು ವೈರಿಗಂಜೋದೇಕೆ?\nಕ್ರಿಸ್ತನಿಂದ ಸೋತನು.\nನನ್ನಿಂದಾಗದನ್ನೋದೇಕೆ?\nಯೇಸುವಿಗೆ ಪ್ರಾರ್ಥಿಸು!\n\n8. ಆತಗುಂಟು ಸರ್ವತ್ರಾಣ;\nಆತ ಪ್ರೀತಿಸಾಗರ;\nಆತ ನೀತಿಯಜಮಾನ;\nಆತನೇ ವಿಮೋಚಕ!\n\n9. ಆತನದನೆಲ್ಲವನ್ನು\nದಯದಿಂದ ಕೊಡುವ.\nಚಾಚು ಹೊಂದಲಿಕ್ಕದನ್ನು\nಸದ್ವಿಶ್ವಾಸಹಸ್ತವ.","1. Dhëvadhattha shakthiyaadha\nSadhvishwaasa yaavadhu ?\nAntha Dhëvara prasaadha\nHyaage praapthiyaagodhu ?\n\n2. Koosu thanna thaayiyannu\nHyaage nambuthihudhö,\nHaage neenu Yësuvannu\nBaalananthe appikö!\n\n3. Nödu! Nödu! Kristhanindha\nBidugade paapige.\nAgö alli! kroojeyindha\nLökadha vimöchane!\n\n4. Krooje sthiravaagi nödi,\nAdhannaathukombodhu,\nAasaraventhalligödi\nSërödhë vishwaasavu.\n\n5. Ninna mana paapadhindha\nKappu baññavaadharu,\nKshañadhalli Kristhanindha\nBilee baññavaagodhu.\n\n6. Jeevaraaja saavinindha\nNinge saavu thappithu.\nMëlakëridhaathanindha\nJeevadhaathma sikkodhu.\n\n7. Yinnu vairiganjödhëke ?\nKristhanindha söthanu.\nNannindhaagadhannödhëke ?\nYësuvige praarthisu!.\n\n8. Aathaguntu sarvathraaña;\nAatha preethisaagara;\nAatha neethiyajamaana;\nAathanë vimöchaka!\n\n9. Aathanadhanellavannu\nDhayadhindha koduva.\nChaachu hondhalikkadhannu\nSadhvishwaasa hasthava.",27,B. Graeter,kannada,Faith and Pardon,25
236,"1. ಸದ್ವಿಶ್ವಾಸಸ್ಥೈರ್ಯವನ್ನು,\nಗಟ್ಟಿಯಾದ ಧೈರ್ಯವನ್ನು,\nಪೂರ್ಣವಾದ ನಂಬಿಕೆ,\nಅಪ್ಪ, ಕೊಡು ನನಗೆ!\n\n2. ಆಗ ಬಿರುಗಾಳಿಯಲ್ಲಿ,\nಘೋರ ಬೆಂಕಿಯುರಿಯಲ್ಲಿ\nಅಪಧೈರ್ಯ ಪಡದೆ,\nನಿಲ್ಲುವೆ ಅಲ್ಲಾಡದೆ.\n\n3. ಕಡಲುಕ್ಕೆ ನೀನೇ ಅಂಡೆ!\nನೀನು ಕದಲದ ಬಂಡೆ!\nಹೊಕ್ಕು ನಿನ್ನ ಶರಣ,\nಉಳಿಸೇನು ಪ್ರಾಣವ.\n\n4. ಘೋರ ತೆರೇ ನೊರೆ ಏರಿ\nಮೇಲೆ ಬೀಳೆ, ಬಂಡೆ ಸೇರಿ-\nಕೊಂಡು ನಿಂತು ಭದ್ರದಿ,\nಮುಣುಗೆನಗಾಧದಿ.\n\n5. ದುಸ್ಸಂದೇಹಭಾವವನ್ನು,\nದುಷ್ಟ ಚಂಚಲಾತ್ಮವನ್ನು\nನನ್ನೊಳಿಂದ ತೆಗೆದು,\nದಿಟ್ಟ ಗುಣ ಹುಟ್ಟಿಸು!","1. Sadhvishwaasa sthairyavannu,\nGattiyaadha dhairyavannu,\nPoorñavaadha nambike,\nAppa, kodu nanage!\n\n2. Aaga birugaaliyalli,\nGhöra benkiyuriyalli\nApadhairya padadhe,\nNilluve allaadadhe.\n\n3. Kadalukke neenë ande!\nNeenu kadhaladha bande!\nHokku ninna sharaña,\nUlisënu praañava.\n\n4. Ghöra therë nore yëri\nMële beele, bande sëri–\nKondu ninthu bhadhradhi,\nMuñugenagaadhadhi.\n\n5. Dhussandhëha bhaavavannu,\nDhu$hta chanchalaathmavannu\nNannolindha thegedhu,\nDhitta guña huttisu!",33,B. Graeter,kannada,Faith and Pardon,25
237,"1. ಕ್ರೂಜೆ ಹತ್ರ ಹೋಗಲಾಗಿ\nಸಿಕ್ಕುತಾಶೀರ್ವಾದವು\nಯೇಸುವನ್ನು ಬೇಡಲಾಗಿ\nಜೀವಕಾಂತಿ ತಪ್ಪದು.\n\n2. ಅಲ್ಲೇ ನಿಂತು ನೋಡುತೇನೆ\nದಿವ್ಯ ರಕ್ತಧಾರೆಯಂ;\nನಾನು ಬೇಡಿ ಹೊಂದಿದ್ದೇನೆ\nಆತ್ಮಕಿಂಪು ಶಾಂತಿಯಂ.\n\n3. ಅಲ್ಲೇ ನಿಲ್ಲೊದೆಂಥ ಭಾಗ್ಯ!\nಯೇಸು ಕಾಣ್ಬನೆನ್ನನು.\nಆತನಿಂದಲೇ ಸೌಭಾಗ್ಯ\nನನಗಲ್ಲಿ ಸಿಕ್ಕಿತು.\n\n4. ನಿನ್ನ ಮೇಲೆ ನನ್ನ ಧ್ಯಾನ\nಸ್ಥಿರ ಮಾಡು, ರಕ್ಷಕಾ!\nನಿತ್ಯಜೀವ, ಸಮಾಧಾನ\nಕಾಣಮಾಡು, ಒಡೆಯಾ!","1. Krooje hathra högalaagi\nSikkuthaasheervaadhavu\nYësuvannu bëdalaagi\nJeevakaanthi thappadhu.\n\n2. Allë ninthu nöduthëne,\nDhivya rakthadhaareyam;\nNaanu bëdi hondhiddhëne\nAathmakimpu shaanthiyam.\n\n3. Allë nillodhentha bhaagya!\nYësu kaañbanennanu.\nAathanindhalë saubhaagya\nNanagalli sikkithu.\n\n4. Ninna mële nanna dhyaana\nSthira maadu, rakshakaa!\nNithya jeeva, samaadhaana\nKaañamaadu, odeyaa!",27,M. Aarons,kannada,Faith and Pardon,25
238,"1. ಪಾಪ, ಶಾಪ, ಪೀಡೆಯನ್ನು\nಹೊತ್ತು, ಪ್ರಿಯ ಯೇಸುವು\nಕ್ರೂಜೆಯಲ್ಲಿ ಜೀವವನ್ನು\nನಮಗಾಗಿ ಬಿಟ್ಟನು.\nತೆತ್ತನಾತ ನಮ್ಮ ಸಾಲವನ್ನು;\nತಂದನಾತ ದೇವಪ್ರೀತಿಯನ್ನು.\n\n2. ನಿನ್ನ ಶ್ರಮದಿಷ್ಟ ಫಲ\nನಮ್ಮ ನಿತ್ಯಶಾಂತಿಯೆ;\nಸೌಖ್ಯವಾದ ವಾಸಸ್ಥಲ\nನೀನು ಕೊಟ್ಟಿ ನಮಗೆ.\nಪ್ರಿಯ ಕರ್ತ, ನಿನ್ನ ಪಾದಸೇವೆ\nಪೂರ್ಣಮನದಿಂದ ಮಾಡುತ್ತೇವೆ!","1. Paapa, shaapa, peedeyannu\nHotthu, priya Yësuvu\nKroojeyalli jeevavannu\nNamagaagi bittanu.\nThetthanaatha namma saalavannu;\nThandhanaatha Dhëvapreethi-\nyannu.\n\n2. Ninna shramadhi$hta phala\nNamma nithya shaanthiye;\nSaukhyavaadha vaasasthala\nNeenu kotti namage.\nPriya Kartha, ninna paadhasëve\nPoorña manadhindha maadu-\nthëve!",83,F. Metz,kannada,Faith and Pardon,25
